DPTO_CCDGO,DIRECTORIO
05,
08,
11,1026.4505494505495
13,1247.1458333333333
15,1447.9479166666667
17,1645.010989010989
18,1687.576923076923
19,1771.165137614679
20,1890.8878504672898
23,2133.591836734694
25,2323.776699029126
27,2498.89
41,3788.345238095238
44,4102.571428571428
47,4321.9009900990095
50,4510.660194174758
52,4712.234693877551
54,4942.158878504673
63,5678.53164556962
66,5816.75
68,684.2222222222222
70,6031.921052631579
73,6534.177777777778
76,6118.282608695652
81,747.8181818181819
85,784.5454545454545
86,786.8
88,812.0909090909091
91,823.6666666666666
94,859.7
95,876.3636363636364
97,894.7272727272727
99,913.0909090909091
